,_id,cid,freq
0,072d42e2-772a-4176-b839-38f6e29c5a77,2bb5dc1159ff11e68ee7a35c065f9c76,1
1,072d42e2-772a-4176-b839-38f6e29c5a77,0f42d2d0dfe211e78b4551a8b8dbe7c2,1
2,072d42e2-772a-4176-b839-38f6e29c5a77,0_dfleeb7d,1
3,072d826f-ad2b-48dd-95e9-08d506310a47,0985e9e03f1e11e88b4555d7ff587979,4
